ID,libelle_zone_d_emploi,code_region,region,code_zone_d_emploi,zone_d_emploi,date,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_brut,masse_salariale_cvs
0,0101 Côte sous le vent,1,Guadeloupe,101,Côte sous le vent,031998,821,806,2893087,2829823
25,0102 Est Grande Terre,1,Guadeloupe,102,Est Grande Terre,031998,3388,3286,12843971,12837759
61,0103 Marie-Galante,1,Guadeloupe,103,Marie-Galante,031998,769,745,2504522,2573124
122,0105 Sud Basse-Terre,1,Guadeloupe,105,Sud Basse-Terre,031998,7287,7308,29719498,30395640
207,0203 Le Nord-Atlantique,2,Martinique,203,Le Nord-Atlantique,031998,554,553,1684445,1723935
262,3214 Laon,32,Hauts-de-France,3214,Laon,031998,19413,19416,80334005,84566324
363,0206 Le Sud-Caraibe,2,Martinique,206,Le Sud-Caraibe,031998,5921,5931,23763724,24165966
423,0301 Est-littoral,3,Guyane,301,Est-littoral,031998,12375,12486,59335036,62090867
506,0054 Beauvais,32,Hauts-de-France,54,Beauvais,031998,56019,56717,261119408,276817791
615,0401 L'Est,4,La Réunion,401,L'Est,031998,5936,6119,22739546,23952914
803,0404 Le Sud,4,La Réunion,404,Le Sud,031998,19851,20219,71983505,74916037
806,3206 Boulogne-sur-Mer,32,Hauts-de-France,3206,Boulogne-sur-Mer,031998,32073,32710,136869386,143947406
915,1102 Coulommiers,11,Île-de-France,1102,Coulommiers,031998,9006,9123,41336111,43762466
1053,1104 Evry,11,Île-de-France,1104,Evry,031998,111226,112638,617797621,641262304
1157,1106 Marne-la-Vallée,11,Île-de-France,1106,Marne-la-Vallée,031998,99092,100567,532132063,548802637
1225,1107 Meaux,11,Île-de-France,1107,Meaux,031998,28669,28975,136746811,142332533
1273,1108 Melun,11,Île-de-France,1108,Melun,031998,45701,46135,219775773,231939060
1456,3222 Valenciennes,32,Hauts-de-France,3222,Valenciennes,031998,71695,73154,330005524,343220130
1566,4403 Charleville-Mézières,44,Grand Est,4403,Charleville-Mézières,031998,39380,39667,173183989,182381266
2031,2405 Châteauroux,24,Centre-Val de Loire,2405,Châteauroux,031998,47350,47839,201155194,211173688
2046,4427 Vitry-le-François Saint-Dizier,44,Grand Est,4427,Vitry-le-François Saint-Dizier,031998,28088,28420,127146212,133836885
2334,4408 Forbach,44,Grand Est,4408,Forbach,031998,16360,16635,65075555,68922102
2470,4412 Nancy,44,Grand Est,4412,Nancy,031998,131583,132855,619397279,647656649
2593,2414 Vendôme,24,Centre-Val de Loire,2414,Vendôme,031998,13273,13351,55447062,58272241
2656,4417 Saint-Dié-des-Vosges,44,Grand Est,4417,Saint-Dié-des-Vosges,031998,22060,22133,95227806,101570817
2787,0057 Dreux,24,Centre-Val de Loire,57,Dreux,031998,24454,24586,117995579,123570263
3014,4427 Vitry-le-François Saint-Dizier,44,Grand Est,4427,Vitry-le-François Saint-Dizier,031998,1201,1210,4693697,4909362
3067,2702 Auxerre,27,Bourgogne-Franche-Comté,2702,Auxerre,031998,44263,44882,187826480,198268588
3228,4411 Mulhouse,44,Grand Est,4411,Mulhouse,031998,120801,122356,573486352,609372568
3267,2707 Chalon-sur-Saône,27,Bourgogne-Franche-Comté,2707,Chalon-sur-Saône,031998,41203,41732,192717554,204234146
3507,2711 Dijon,27,Bourgogne-Franche-Comté,2711,Dijon,031998,102861,103914,481740310,507558358
3678,5202 Angers,52,Pays de la Loire,5202,Angers,031998,85197,85728,376627957,393327630
3818,5204 Château-Gontier,52,Pays de la Loire,5204,Château-Gontier,031998,7780,7890,31132826,32490210
3933,0060 Nevers,27,Bourgogne-Franche-Comté,60,Nevers,031998,34925,35360,149793107,158656361
3996,5207 Fontenay-le-Comte,52,Pays de la Loire,5207,Fontenay-le-Comte,031998,18766,19307,72978890,77047525
4054,5208 La Ferté-Bernard,52,Pays de la Loire,5208,La Ferté-Bernard,031998,15335,15589,66851494,70839417
4122,5209 La Flèche,52,Pays de la Loire,5209,La Flèche,031998,10549,10714,42907294,44820948
4351,2715 Pontarlier,27,Bourgogne-Franche-Comté,2715,Pontarlier,031998,18921,19086,76227671,80371308
4392,5213 Les Herbiers-Montaigu,52,Pays de la Loire,5213,Les Herbiers-Montaigu,031998,36724,37628,149129458,153425972
4405,2716 Saint-Claude,27,Bourgogne-Franche-Comté,2716,Saint-Claude,031998,17051,17033,75077555,76483083
4521,2803 Bernay,28,Normandie,2803,Bernay,031998,13829,13954,61965294,65718521
4645,2808 Evreux,28,Normandie,2808,Evreux,031998,45993,46526,204033926,213179348
4913,2815 Rouen,28,Normandie,2815,Rouen,031998,185638,187537,889381982,932376467
5085,0054 Beauvais,28,Normandie,54,Beauvais,031998,3914,3962,18731061,19893760
5278,5304 Dinan,53,Bretagne,5304,Dinan,031998,13729,14150,53588646,57021178
5388,5306 Guingamp,53,Bretagne,5306,Guingamp,031998,10498,10502,41067146,43936149
5495,2806 Coutances,28,Normandie,2806,Coutances,031998,10130,10323,39830088,42195917
5506,5308 Lannion,53,Bretagne,5308,Lannion,031998,18146,18732,85827327,91566076
5607,2810 Granville,28,Normandie,2810,Granville,031998,8078,8286,30309901,31895293
5662,5310 Morlaix,53,Bretagne,5310,Morlaix,031998,24790,25413,101065543,108571564
5721,2812 L'Aigle,28,Normandie,2812,L'Aigle,031998,7517,7588,31304736,33247356
5794,5312 Pontivy-Loudéac,53,Bretagne,5312,Pontivy-Loudéac,031998,22238,22571,90872964,95988146
5872,5313 Quimper,53,Bretagne,5313,Quimper,031998,56733,58187,242434101,256645437
5979,0051 Alençon,28,Normandie,51,Alençon,031998,21170,21391,92614679,96886811
6157,3202 Amiens,32,Hauts-de-France,3202,Amiens,031998,82984,83997,367653684,388606811
6158,5318 Vannes,53,Bretagne,5318,Vannes,031998,35842,36749,149537479,158224966
6465,7527 Saint-Junien,75,Nouvelle-Aquitaine,7527,Saint-Junien,031998,4981,5070,20161016,20686592
6500,7506 Bressuire,75,Nouvelle-Aquitaine,7506,Bressuire,031998,24441,24726,97379667,99321974
6607,7530 Thouars,75,Nouvelle-Aquitaine,7530,Thouars,031998,12009,12171,46200860,47854361
6640,7509 Cognac,75,Nouvelle-Aquitaine,7509,Cognac,031998,25571,25917,114787975,121466322
6735,7502 Angoulême,75,Nouvelle-Aquitaine,7502,Angoulême,031998,3,3,7233,7542
6826,7520 Niort,75,Nouvelle-Aquitaine,7520,Niort,031998,45830,46510,213771798,219987264
6987,7507 Brive-la-Gaillarde,75,Nouvelle-Aquitaine,7507,Brive-la-Gaillarde,031998,3739,3795,16899020,17997882
7032,7525 Rochefort,75,Nouvelle-Aquitaine,7525,Rochefort,031998,11571,11734,45812495,48620001
7195,7516 Libourne,75,Nouvelle-Aquitaine,7516,Libourne,031998,20517,20785,85177597,89314791
