ID,dep,sexe,date,Hospitalisation,Reanimation,HospConv,Radio,Deces,code_region,incid_reanimation
0,1,0,032021,183,19,111.0,2234,538,84,8
1,1,1,032021,88,13,52.0,1083,319,84,8
2,1,2,032021,94,6,58.0,1132,216,84,8
3,3,0,032021,73,13,44.0,1676,502,84,8
4,3,1,032021,40,8,25.0,778,286,84,8
5,3,2,032021,32,5,18.0,881,207,84,8
6,7,0,032021,108,11,86.0,1644,439,84,8
7,7,1,032021,46,10,32.0,737,264,84,8
8,7,2,032021,59,1,51.0,875,172,84,8
9,15,0,032021,25,2,17.0,453,103,84,8
10,15,1,032021,17,0,13.0,218,57,84,8
11,15,2,032021,8,2,4.0,235,43,84,8
12,26,0,032021,220,40,122.0,2226,648,84,8
13,26,1,032021,126,30,68.0,1101,362,84,8
14,26,2,032021,89,9,52.0,1087,273,84,8
15,38,0,032021,626,66,309.0,5614,1423,84,8
16,38,1,032021,319,45,150.0,2735,822,84,8
17,38,2,032021,303,20,157.0,2847,593,84,8
18,42,0,032021,352,41,229.0,4229,1073,84,8
19,42,1,032021,178,34,118.0,2125,619,84,8
20,42,2,032021,173,7,110.0,2073,446,84,8
21,43,0,032021,75,5,43.0,1045,212,84,8
22,43,1,032021,38,3,26.0,500,122,84,8
23,43,2,032021,35,2,15.0,529,88,84,8
24,63,0,032021,227,29,122.0,1943,574,84,8
25,63,1,032021,110,22,59.0,903,315,84,8
26,63,2,032021,112,7,62.0,1025,256,84,8
27,69,0,032021,888,161,495.0,11493,2492,84,8
28,69,1,032021,456,110,248.0,5641,1452,84,8
29,69,2,032021,425,50,243.0,5717,1022,84,8
30,73,0,032021,102,15,67.0,2261,604,84,8
31,73,1,032021,55,11,34.0,1121,348,84,8
32,73,2,032021,45,4,32.0,1131,254,84,8
33,74,0,032021,209,36,106.0,3950,842,84,8
34,74,1,032021,92,22,44.0,2080,508,84,8
35,74,2,032021,115,13,61.0,1850,331,84,8
36,1,0,032021,181,20,115.0,2247,538,84,44
37,1,1,032021,89,14,56.0,1089,319,84,44
38,1,2,032021,91,6,58.0,1139,216,84,44
39,3,0,032021,73,12,45.0,1681,502,84,44
40,3,1,032021,40,8,25.0,779,286,84,44
41,3,2,032021,32,4,19.0,885,207,84,44
42,7,0,032021,111,12,88.0,1653,440,84,44
43,7,1,032021,47,11,32.0,743,264,84,44
44,7,2,032021,61,1,53.0,878,173,84,44
45,15,0,032021,24,2,16.0,456,103,84,44
46,15,1,032021,17,0,13.0,219,57,84,44
47,15,2,032021,7,2,3.0,237,43,84,44
48,26,0,032021,220,42,122.0,2237,650,84,44
49,26,1,032021,125,32,65.0,1109,363,84,44
50,26,2,032021,90,9,55.0,1090,274,84,44
51,38,0,032021,633,63,323.0,5639,1435,84,44
52,38,1,032021,324,41,161.0,2742,829,84,44
53,38,2,032021,305,22,159.0,2865,597,84,44
54,42,0,032021,364,45,237.0,4234,1075,84,44
55,42,1,032021,188,37,126.0,2129,621,84,44
56,42,2,032021,175,8,110.0,2074,446,84,44
57,43,0,032021,76,6,45.0,1047,212,84,44
58,43,1,032021,38,4,26.0,502,122,84,44
59,43,2,032021,36,2,17.0,528,88,84,44
60,63,0,032021,232,31,126.0,1944,575,84,44
61,63,1,032021,114,24,62.0,905,316,84,44
62,63,2,032021,113,7,63.0,1024,256,84,44
63,69,0,032021,922,163,533.0,11518,2496,84,44
64,69,1,032021,462,107,261.0,5653,1455,84,44
65,69,2,032021,452,55,267.0,5730,1023,84,44
66,73,0,032021,103,15,68.0,2264,605,84,44
67,73,1,032021,55,11,34.0,1122,349,84,44
68,73,2,032021,46,4,33.0,1133,254,84,44
69,74,0,032021,229,34,128.0,3953,844,84,44
70,74,1,032021,104,23,55.0,2083,508,84,44
71,74,2,032021,123,10,72.0,1850,333,84,44
72,1,0,032021,176,19,112.0,2259,543,84,46
73,1,1,032021,87,14,55.0,1096,321,84,46
74,1,2,032021,88,5,56.0,1144,219,84,46
75,3,0,032021,78,11,51.0,1680,503,84,46
76,3,1,032021,41,7,27.0,777,287,84,46
77,3,2,032021,36,4,23.0,886,207,84,46
78,7,0,032021,105,12,82.0,1659,440,84,46
79,7,1,032021,47,10,33.0,744,264,84,46
80,7,2,032021,55,2,46.0,883,173,84,46
81,15,0,032021,26,2,18.0,456,103,84,46
82,15,1,032021,17,0,13.0,219,57,84,46
83,15,2,032021,9,2,5.0,237,43,84,46
84,26,0,032021,218,41,122.0,2239,653,84,46
85,26,1,032021,122,32,63.0,1113,363,84,46
86,26,2,032021,91,8,56.0,1088,277,84,46
87,38,0,032021,621,64,312.0,5668,1440,84,46
88,38,1,032021,322,44,156.0,2755,831,84,46
89,38,2,032021,295,20,153.0,2881,600,84,46
90,42,0,032021,354,43,231.0,4255,1082,84,46
91,42,1,032021,186,35,126.0,2136,626,84,46
92,42,2,032021,167,8,104.0,2088,448,84,46
93,43,0,032021,78,6,45.0,1047,214,84,46
94,43,1,032021,38,4,25.0,502,124,84,46
95,43,2,032021,38,2,18.0,528,88,84,46
96,63,0,032021,226,32,123.0,1967,580,84,46
97,63,1,032021,111,24,59.0,914,319,84,46
98,63,2,032021,110,8,63.0,1038,258,84,46
99,69,0,032021,903,172,501.0,11574,2513,84,46
100,69,1,032021,455,108,252.0,5679,1463,84,46
101,69,2,032021,442,63,246.0,5759,1030,84,46
102,73,0,032021,102,13,69.0,2270,605,84,46
103,73,1,032021,56,10,36.0,1124,349,84,46
104,73,2,032021,44,3,32.0,1137,254,84,46
105,74,0,032021,231,35,128.0,3971,849,84,46
106,74,1,032021,107,22,60.0,2092,509,84,46
107,74,2,032021,122,12,67.0,1859,337,84,46
108,1,0,032021,172,16,111.0,2266,544,84,43
109,1,1,032021,85,13,54.0,1099,322,84,43
110,1,2,032021,86,3,56.0,1148,219,84,43
111,3,0,032021,78,9,54.0,1684,503,84,43
112,3,1,032021,42,7,28.0,779,287,84,43
113,3,2,032021,35,2,25.0,888,207,84,43
114,7,0,032021,99,11,77.0,1669,441,84,43
115,7,1,032021,43,9,30.0,749,265,84,43
116,7,2,032021,54,2,45.0,887,173,84,43
117,15,0,032021,26,2,17.0,456,103,84,43
118,15,1,032021,17,0,13.0,219,57,84,43
119,15,2,032021,9,2,4.0,237,43,84,43
120,26,0,032021,210,38,129.0,2263,653,84,43
121,26,1,032021,119,30,66.0,1123,364,84,43
122,26,2,032021,86,7,60.0,1102,276,84,43
123,38,0,032021,601,65,292.0,5712,1445,84,43
124,38,1,032021,302,45,136.0,2782,836,84,43
125,38,2,032021,296,20,154.0,2897,600,84,43
126,42,0,032021,342,45,223.0,4278,1086,84,43
127,42,1,032021,180,36,120.0,2148,628,84,43
128,42,2,032021,161,9,102.0,2099,450,84,43
129,43,0,032021,75,5,43.0,1049,215,84,43
130,43,1,032021,37,3,25.0,502,125,84,43
131,43,2,032021,37,2,17.0,529,88,84,43
132,63,0,032021,226,33,124.0,1976,582,84,43
133,63,1,032021,110,24,60.0,918,320,84,43
134,63,2,032021,111,9,63.0,1043,259,84,43
135,69,0,032021,880,179,487.0,11642,2522,84,43
136,69,1,032021,448,108,248.0,5709,1466,84,43
137,69,2,032021,426,70,236.0,5796,1036,84,43
138,73,0,032021,97,13,65.0,2282,607,84,43
139,73,1,032021,54,11,33.0,1130,349,84,43
140,73,2,032021,41,2,31.0,1143,256,84,43
141,74,0,032021,234,32,131.0,3989,853,84,43
142,74,1,032021,108,21,62.0,2101,511,84,43
143,74,2,032021,124,10,68.0,1868,339,84,43
144,1,0,032021,170,17,111.0,2272,545,84,29
145,1,1,032021,86,14,54.0,1100,322,84,29
146,1,2,032021,83,3,56.0,1153,220,84,29
147,3,0,032021,80,11,55.0,1691,503,84,29
148,3,1,032021,41,9,25.0,783,287,84,29
149,3,2,032021,38,2,29.0,891,207,84,29
150,7,0,032021,100,12,77.0,1671,443,84,29
151,7,1,032021,42,9,29.0,751,266,84,29
152,7,2,032021,56,3,46.0,887,174,84,29
153,15,0,032021,21,2,12.0,461,104,84,29
154,15,1,032021,13,0,9.0,222,58,84,29
155,15,2,032021,8,2,3.0,239,43,84,29
156,26,0,032021,219,38,138.0,2267,654,84,29
157,26,1,032021,125,30,72.0,1126,364,84,29
158,26,2,032021,89,7,63.0,1103,277,84,29
159,38,0,032021,601,67,293.0,5725,1451,84,29
160,38,1,032021,303,47,135.0,2787,839,84,29
161,38,2,032021,295,20,156.0,2905,603,84,29
162,42,0,032021,345,49,221.0,4286,1088,84,29
163,42,1,032021,186,38,123.0,2150,630,84,29
164,42,2,032021,158,11,97.0,2105,450,84,29
165,43,0,032021,76,4,42.0,1053,215,84,29
166,43,1,032021,36,2,23.0,504,125,84,29
167,43,2,032021,39,2,18.0,531,88,84,29
168,63,0,032021,221,33,121.0,1984,584,84,29
169,63,1,032021,108,24,59.0,922,321,84,29
170,63,2,032021,108,9,61.0,1047,260,84,29
171,69,0,032021,853,169,486.0,11690,2529,84,29
172,69,1,032021,428,103,245.0,5738,1469,84,29
173,69,2,032021,420,65,239.0,5815,1040,84,29
174,73,0,032021,97,11,65.0,2287,609,84,29
175,73,1,032021,54,10,34.0,1134,351,84,29
176,73,2,032021,40,1,29.0,1144,256,84,29
177,74,0,032021,229,31,128.0,3997,857,84,29
178,74,1,032021,102,19,59.0,2107,514,84,29
179,74,2,032021,125,11,68.0,1870,340,84,29
180,1,0,032021,161,14,109.0,2282,547,84,36
181,1,1,032021,80,11,52.0,1106,324,84,36
182,1,2,032021,80,3,56.0,1157,220,84,36
183,3,0,032021,80,11,55.0,1699,504,84,36
184,3,1,032021,40,9,24.0,786,288,84,36
185,3,2,032021,39,2,30.0,896,207,84,36
186,7,0,032021,100,12,77.0,1679,444,84,36
187,7,1,032021,42,9,29.0,755,266,84,36
188,7,2,032021,57,3,47.0,890,175,84,36
189,15,0,032021,23,1,15.0,461,105,84,36
190,15,1,032021,13,0,9.0,223,58,84,36
191,15,2,032021,10,1,6.0,238,44,84,36
192,26,0,032021,216,35,141.0,2277,656,84,36
193,26,1,032021,122,27,73.0,1130,366,84,36
194,26,2,032021,89,7,65.0,1109,277,84,36
195,38,0,032021,604,68,296.0,5744,1455,84,36
196,38,1,032021,295,45,130.0,2798,842,84,36
197,38,2,032021,307,23,165.0,2912,604,84,36
198,42,0,032021,346,49,223.0,4291,1090,84,36
199,42,1,032021,186,38,124.0,2154,631,84,36
200,42,2,032021,159,11,98.0,2106,450,84,36
201,43,0,032021,77,3,44.0,1053,216,84,36
202,43,1,032021,37,2,24.0,504,125,84,36
203,43,2,032021,39,1,19.0,531,89,84,36
204,63,0,032021,221,29,127.0,1989,586,84,36
205,63,1,032021,110,21,63.0,925,322,84,36
206,63,2,032021,106,8,63.0,1049,261,84,36
207,69,0,032021,831,181,474.0,11756,2534,84,36
208,69,1,032021,415,111,233.0,5766,1471,84,36
209,69,2,032021,412,69,239.0,5852,1043,84,36
210,73,0,032021,97,12,64.0,2290,609,84,36
211,73,1,032021,55,11,34.0,1134,351,84,36
212,73,2,032021,39,1,28.0,1147,256,84,36
213,74,0,032021,236,33,132.0,4002,861,84,36
214,74,1,032021,109,20,65.0,2110,514,84,36
215,74,2,032021,125,12,66.0,1872,344,84,36
216,1,0,032021,165,15,112.0,2283,547,84,37
217,1,1,032021,85,11,57.0,1105,324,84,37
218,1,2,032021,79,4,54.0,1159,220,84,37
219,3,0,032021,73,13,54.0,1710,505,84,37
220,3,1,032021,39,11,23.0,789,288,84,37
221,3,2,032021,33,2,30.0,904,208,84,37
222,7,0,032021,93,12,70.0,1688,445,84,37
223,7,1,032021,42,8,30.0,756,266,84,37
224,7,2,032021,50,4,39.0,898,176,84,37
225,15,0,032021,23,1,15.0,461,105,84,37
226,15,1,032021,13,0,9.0,223,58,84,37
227,15,2,032021,10,1,6.0,238,44,84,37
228,26,0,032021,214,35,137.0,2283,656,84,37
229,26,1,032021,123,27,74.0,1131,366,84,37
230,26,2,032021,86,7,60.0,1114,277,84,37
231,38,0,032021,606,70,296.0,5748,1456,84,37
232,38,1,032021,295,46,129.0,2802,843,84,37
233,38,2,032021,308,24,165.0,2912,604,84,37
234,42,0,032021,342,46,222.0,4307,1093,84,37
235,42,1,032021,183,36,122.0,2163,632,84,37
236,42,2,032021,158,10,99.0,2113,452,84,37
237,43,0,032021,75,2,43.0,1056,216,84,37
238,43,1,032021,37,1,25.0,505,125,84,37
239,43,2,032021,37,1,17.0,533,89,84,37
240,63,0,032021,226,30,130.0,1993,588,84,37
241,63,1,032021,110,23,61.0,929,324,84,37
242,63,2,032021,111,7,68.0,1049,261,84,37
243,69,0,032021,844,183,478.0,11778,2537,84,37
244,69,1,032021,418,113,231.0,5777,1473,84,37
245,69,2,032021,422,69,245.0,5863,1044,84,37
246,73,0,032021,98,12,65.0,2293,609,84,37
247,73,1,032021,53,10,33.0,1137,351,84,37
248,73,2,032021,42,2,30.0,1147,256,84,37
249,74,0,032021,240,34,135.0,4008,866,84,37
250,74,1,032021,111,19,68.0,2111,518,84,37
251,74,2,032021,127,14,66.0,1877,345,84,37
252,1,0,032021,165,15,112.0,2283,547,84,16
253,1,1,032021,85,11,57.0,1105,324,84,16
254,1,2,032021,79,4,54.0,1159,220,84,16
255,3,0,032021,70,13,51.0,1714,505,84,16
256,3,1,032021,40,11,24.0,789,288,84,16
257,3,2,032021,29,2,26.0,908,208,84,16
258,7,0,032021,91,10,70.0,1688,448,84,16
259,7,1,032021,39,7,28.0,756,269,84,16
260,7,2,032021,51,3,41.0,898,176,84,16
261,15,0,032021,23,1,15.0,461,105,84,16
262,15,1,032021,13,0,9.0,223,58,84,16
263,15,2,032021,10,1,6.0,238,44,84,16
264,26,0,032021,213,34,136.0,2291,657,84,16
265,26,1,032021,127,27,77.0,1133,367,84,16
266,26,2,032021,81,6,56.0,1120,277,84,16
267,38,0,032021,603,69,294.0,5757,1456,84,16
268,38,1,032021,293,44,129.0,2807,843,84,16
269,38,2,032021,307,24,164.0,2916,604,84,16
270,42,0,032021,355,48,232.0,4309,1094,84,16
271,42,1,032021,188,37,125.0,2164,633,84,16
272,42,2,032021,166,11,106.0,2114,452,84,16
273,43,0,032021,76,2,44.0,1056,217,84,16
274,43,1,032021,39,1,27.0,505,125,84,16
275,43,2,032021,36,1,16.0,533,90,84,16
276,63,0,032021,228,32,131.0,1996,590,84,16
277,63,1,032021,112,24,62.0,930,326,84,16
278,63,2,032021,111,8,68.0,1051,261,84,16
279,69,0,032021,843,187,473.0,11788,2539,84,16
280,69,1,032021,423,117,232.0,5779,1475,84,16
281,69,2,032021,416,69,239.0,5871,1044,84,16
282,73,0,032021,100,14,65.0,2294,610,84,16
283,73,1,032021,56,10,36.0,1137,351,84,16
284,73,2,032021,41,4,27.0,1148,257,84,16
285,74,0,032021,240,33,135.0,4014,868,84,16
286,74,1,032021,112,19,68.0,2114,518,84,16
287,74,2,032021,126,13,66.0,1880,347,84,16
288,1,0,032021,173,16,119.0,2286,548,84,60
289,1,1,032021,88,12,59.0,1107,325,84,60
290,1,2,032021,84,4,59.0,1160,220,84,60
291,3,0,032021,75,16,53.0,1715,505,84,60
292,3,1,032021,44,13,26.0,789,288,84,60
293,3,2,032021,30,3,26.0,909,208,84,60
294,7,0,032021,89,10,68.0,1691,448,84,60
295,7,1,032021,40,7,29.0,756,269,84,60
296,7,2,032021,48,3,38.0,901,176,84,60
297,15,0,032021,26,2,17.0,460,105,84,60
298,15,1,032021,14,0,10.0,222,58,84,60
299,15,2,032021,12,2,7.0,238,44,84,60
300,26,0,032021,215,35,137.0,2297,661,84,60
301,26,1,032021,126,28,75.0,1136,370,84,60
302,26,2,032021,85,6,60.0,1123,277,84,60
303,38,0,032021,592,70,289.0,5793,1466,84,60
304,38,1,032021,285,43,122.0,2826,851,84,60
305,38,2,032021,305,27,166.0,2933,606,84,60
306,42,0,032021,369,50,245.0,4318,1096,84,60
307,42,1,032021,195,38,132.0,2170,635,84,60
308,42,2,032021,173,12,112.0,2117,452,84,60
309,43,0,032021,74,1,44.0,1057,219,84,60
310,43,1,032021,37,1,25.0,506,126,84,60
311,43,2,032021,36,0,18.0,533,91,84,60
312,63,0,032021,231,35,134.0,2001,592,84,60
313,63,1,032021,112,25,64.0,933,328,84,60
314,63,2,032021,114,10,69.0,1053,261,84,60
315,69,0,032021,882,188,510.0,11816,2555,84,60
316,69,1,032021,444,118,249.0,5792,1482,84,60
317,69,2,032021,434,70,258.0,5885,1053,84,60
318,73,0,032021,110,13,76.0,2298,612,84,60
319,73,1,032021,62,11,41.0,1138,351,84,60
320,73,2,032021,45,2,33.0,1151,259,84,60
321,74,0,032021,247,32,137.0,4029,878,84,60
322,74,1,032021,115,18,69.0,2125,527,84,60
323,74,2,032021,130,13,67.0,1884,348,84,60
324,1,0,032021,172,19,115.0,2297,549,84,69
325,1,1,032021,85,13,56.0,1114,326,84,69
326,1,2,032021,86,6,58.0,1164,220,84,69
327,3,0,032021,77,16,56.0,1722,505,84,69
328,3,1,032021,47,14,29.0,793,288,84,69
329,3,2,032021,29,2,26.0,912,208,84,69
330,7,0,032021,90,13,65.0,1696,448,84,69
331,7,1,032021,40,10,26.0,758,269,84,69
332,7,2,032021,49,3,38.0,904,176,84,69
333,15,0,032021,26,1,18.0,463,105,84,69
334,15,1,032021,16,0,12.0,222,58,84,69
335,15,2,032021,10,1,6.0,241,44,84,69
336,26,0,032021,213,36,134.0,2303,664,84,69
337,26,1,032021,123,28,72.0,1139,373,84,69
338,26,2,032021,86,7,60.0,1126,277,84,69
339,38,0,032021,627,80,314.0,5819,1469,84,69
340,38,1,032021,311,52,139.0,2829,853,84,69
341,38,2,032021,314,28,174.0,2956,607,84,69
342,42,0,032021,380,54,255.0,4334,1100,84,69
343,42,1,032021,203,41,137.0,2177,638,84,69
344,42,2,032021,177,13,118.0,2125,453,84,69
345,43,0,032021,71,1,41.0,1057,221,84,69
346,43,1,032021,34,1,22.0,507,128,84,69
347,43,2,032021,36,0,18.0,532,91,84,69
348,63,0,032021,234,35,138.0,2010,595,84,69
349,63,1,032021,110,25,63.0,938,330,84,69
350,63,2,032021,119,10,74.0,1056,262,84,69
351,69,0,032021,904,188,529.0,11854,2570,84,69
352,69,1,032021,461,119,266.0,5812,1496,84,69
353,69,2,032021,438,68,261.0,5903,1054,84,69
354,73,0,032021,108,16,72.0,2301,612,84,69
355,73,1,032021,63,14,39.0,1140,351,84,69
356,73,2,032021,43,2,31.0,1151,259,84,69
357,74,0,032021,244,36,131.0,4046,880,84,69
358,74,1,032021,117,20,69.0,2134,528,84,69
359,74,2,032021,125,15,61.0,1892,349,84,69
360,1,0,032021,167,19,111.0,2311,551,84,28
361,1,1,032021,81,12,53.0,1120,327,84,28
362,1,2,032021,85,7,57.0,1172,221,84,28
363,3,0,032021,70,15,50.0,1732,506,84,28
364,3,1,032021,42,14,24.0,800,289,84,28
365,3,2,032021,27,1,25.0,915,208,84,28
366,7,0,032021,95,11,71.0,1700,450,84,28
367,7,1,032021,43,9,30.0,760,270,84,28
368,7,2,032021,51,2,40.0,906,177,84,28
369,15,0,032021,28,1,20.0,463,105,84,28
370,15,1,032021,18,0,14.0,222,58,84,28
371,15,2,032021,10,1,6.0,241,44,84,28
372,26,0,032021,213,37,133.0,2314,664,84,28
373,26,1,032021,122,29,69.0,1145,373,84,28
374,26,2,032021,88,7,63.0,1131,277,84,28
375,38,0,032021,633,74,328.0,5853,1477,84,28
376,38,1,032021,315,48,148.0,2843,856,84,28
377,38,2,032021,316,26,179.0,2976,612,84,28
378,42,0,032021,373,49,260.0,4354,1102,84,28
379,42,1,032021,202,39,136.0,2182,639,84,28
380,42,2,032021,171,10,124.0,2140,454,84,28
381,43,0,032021,77,2,45.0,1060,221,84,28
382,43,1,032021,36,2,22.0,509,128,84,28
383,43,2,032021,40,0,22.0,533,91,84,28
384,63,0,032021,229,37,132.0,2025,594,84,28
385,63,1,032021,113,27,61.0,942,329,84,28
386,63,2,032021,112,10,71.0,1066,262,84,28
387,69,0,032021,929,187,559.0,11898,2580,84,28
388,69,1,032021,486,119,290.0,5829,1501,84,28
389,69,2,032021,438,67,267.0,5930,1059,84,28
390,73,0,032021,108,15,76.0,2307,613,84,28
391,73,1,032021,63,13,42.0,1143,352,84,28
392,73,2,032021,44,2,33.0,1153,259,84,28
393,74,0,032021,247,33,129.0,4064,884,84,28
394,74,1,032021,115,19,66.0,2142,531,84,28
395,74,2,032021,130,13,62.0,1902,350,84,28
396,1,0,032021,161,16,109.0,2316,554,84,32
397,1,1,032021,80,11,54.0,1121,327,84,32
398,1,2,032021,80,5,54.0,1176,224,84,32
399,3,0,032021,68,13,52.0,1737,507,84,32
400,3,1,032021,41,12,27.0,803,290,84,32
401,3,2,032021,26,1,24.0,917,208,84,32
402,7,0,032021,99,10,76.0,1703,450,84,32
403,7,1,032021,47,9,34.0,761,270,84,32
404,7,2,032021,51,1,41.0,908,177,84,32
405,15,0,032021,29,1,21.0,464,105,84,32
406,15,1,032021,18,0,14.0,222,58,84,32
407,15,2,032021,11,1,7.0,242,44,84,32
408,26,0,032021,210,37,135.0,2327,665,84,32
409,26,1,032021,117,30,66.0,1152,374,84,32
410,26,2,032021,90,6,68.0,1137,277,84,32
411,38,0,032021,638,75,333.0,5876,1483,84,32
412,38,1,032021,319,47,152.0,2854,861,84,32
413,38,2,032021,317,28,180.0,2988,613,84,32
414,42,0,032021,375,50,259.0,4372,1104,84,32
415,42,1,032021,201,38,136.0,2189,641,84,32
416,42,2,032021,173,12,122.0,2151,454,84,32
417,43,0,032021,78,2,46.0,1064,221,84,32
418,43,1,032021,37,2,24.0,510,128,84,32
419,43,2,032021,39,0,20.0,536,91,84,32
420,63,0,032021,232,32,139.0,2033,595,84,32
421,63,1,032021,111,24,62.0,946,330,84,32
422,63,2,032021,117,8,77.0,1070,262,84,32
423,69,0,032021,953,190,576.0,11925,2584,84,32
424,69,1,032021,494,120,297.0,5841,1502,84,32
425,69,2,032021,453,69,276.0,5945,1062,84,32
426,73,0,032021,113,17,79.0,2315,615,84,32
427,73,1,032021,67,14,45.0,1146,353,84,32
428,73,2,032021,45,3,33.0,1158,260,84,32
429,74,0,032021,246,31,129.0,4073,888,84,32
430,74,1,032021,114,19,65.0,2146,534,84,32
431,74,2,032021,130,11,63.0,1907,351,84,32
432,1,0,032021,145,15,96.0,2331,557,84,51
433,1,1,032021,71,11,47.0,1129,328,84,51
434,1,2,032021,73,4,48.0,1183,226,84,51
435,3,0,032021,64,10,51.0,1742,508,84,51
436,3,1,032021,40,9,29.0,804,291,84,51
437,3,2,032021,24,1,22.0,920,208,84,51
438,7,0,032021,95,9,73.0,1711,450,84,51
439,7,1,032021,44,8,32.0,765,270,84,51
440,7,2,032021,50,1,40.0,912,177,84,51
441,15,0,032021,31,1,23.0,464,105,84,51
442,15,1,032021,19,0,15.0,222,58,84,51
443,15,2,032021,12,1,8.0,242,44,84,51
444,26,0,032021,203,37,130.0,2336,666,84,51
445,26,1,032021,115,30,64.0,1157,374,84,51
446,26,2,032021,85,6,65.0,1141,278,84,51
447,38,0,032021,622,76,315.0,5904,1487,84,51
448,38,1,032021,315,48,147.0,2869,863,84,51
449,38,2,032021,305,28,167.0,3001,615,84,51
450,42,0,032021,394,49,274.0,4395,1107,84,51
451,42,1,032021,204,34,140.0,2202,644,84,51
452,42,2,032021,189,15,133.0,2161,454,84,51
453,43,0,032021,78,2,47.0,1069,221,84,51
454,43,1,032021,36,2,24.0,512,128,84,51
455,43,2,032021,40,0,21.0,539,91,84,51
456,63,0,032021,221,30,127.0,2043,599,84,51
457,63,1,032021,108,22,60.0,949,332,84,51
458,63,2,032021,109,8,67.0,1077,264,84,51
459,69,0,032021,950,195,578.0,11996,2597,84,51
460,69,1,032021,489,128,287.0,5877,1509,84,51
461,69,2,032021,457,66,289.0,5978,1068,84,51
462,73,0,032021,114,18,79.0,2318,616,84,51
463,73,1,032021,66,15,43.0,1149,354,84,51
464,73,2,032021,47,3,35.0,1158,260,84,51
465,74,0,032021,250,33,127.0,4090,891,84,51
466,74,1,032021,118,21,67.0,2155,536,84,51
467,74,2,032021,130,11,59.0,1915,352,84,51
468,1,0,032021,142,14,93.0,2335,557,84,29
469,1,1,032021,71,10,47.0,1132,328,84,29
470,1,2,032021,70,4,45.0,1184,226,84,29
471,3,0,032021,64,10,51.0,1744,509,84,29
472,3,1,032021,40,8,30.0,805,292,84,29
473,3,2,032021,24,2,21.0,921,208,84,29
474,7,0,032021,95,10,72.0,1713,450,84,29
475,7,1,032021,44,9,31.0,767,270,84,29
476,7,2,032021,50,1,40.0,912,177,84,29
477,15,0,032021,28,1,23.0,469,105,84,29
478,15,1,032021,16,0,14.0,225,58,84,29
479,15,2,032021,12,1,9.0,244,44,84,29
480,26,0,032021,202,34,131.0,2351,666,84,29
481,26,1,032021,115,27,67.0,1163,375,84,29
482,26,2,032021,84,6,63.0,1150,277,84,29
483,38,0,032021,633,77,323.0,5911,1488,84,29
484,38,1,032021,321,48,152.0,2870,863,84,29
485,38,2,032021,310,29,170.0,3007,616,84,29
486,42,0,032021,392,51,264.0,4409,1109,84,29
487,42,1,032021,205,33,138.0,2209,645,84,29
488,42,2,032021,187,18,126.0,2168,455,84,29
489,43,0,032021,79,2,48.0,1070,221,84,29
490,43,1,032021,34,2,22.0,515,128,84,29
491,43,2,032021,43,0,24.0,537,91,84,29
492,63,0,032021,217,30,121.0,2058,603,84,29
